Артикул;Название;Ссылка;"Краткое описание";"Полное описание";Цена;"Оптовая цена";"Склад 1";"Суммарно на складах";Категория;Изображения
Rex6262L;"Штаны мужские Rex, зеленый L";http://avantmarket.com/shtany-muzhskie-rex-zelenyy-l;"Мужские длинные термоштаны из шерсти Merino wool 240g Heavy - однослойный толстый материал, который обеспечивает быстрое испарение пота и идеальную сухость Вашей кожи во время занятий спортом.";"Описание штанов Lasting Rex:
Данная модель – оптимальное приобретение для зимних видов спорта, трекинга. Мужские штаны Lasting Rex выполнены из шерсти мериноса, которая обеспечивает циркуляцию воздуха и очень быстрое отведение пота, что позволяет предмету одежды оставаться сухим при физических нагрузках любой интенсивности. Кроме того, изделие отлично удерживает тепло вашего тела. Однослойное волокно, диаметр которого – 16 микрон, является очень мягким, не колется, отлично тянется (не стесняет движений), при этом характеризуется высокой степенью огнеупорности. Зимой штаны могут быть рекомендованы в качестве нижнего белья, в теплое время года – как основной слой одежды. Особенности модели, которые делают ее весьма комфортной – двухслойная вязка (кулирная и махровая), очень тонкие и плоские швы.
Особенности:
мужское термобельё 
мягкая, не колющаяся шерсть ";3150,00;2048,00;11;11;Штаны;http://avantmarket.com/wa-data/public/shop/products/57/20/2057/images/7030/7030.750x0.jpg
Rex6262M;"Штаны мужские Rex, зеленый M";http://avantmarket.com/shtany-muzhskie-rex-zelenyy-m;"Мужские длинные термоштаны из шерсти Merino wool 240g Heavy - однослойный толстый материал, который обеспечивает быстрое испарение пота и идеальную сухость Вашей кожи во время занятий спортом.";"Описание штанов Lasting Rex:
Данная модель – оптимальное приобретение для зимних видов спорта, трекинга. Мужские штаны Lasting Rex выполнены из шерсти мериноса, которая обеспечивает циркуляцию воздуха и очень быстрое отведение пота, что позволяет предмету одежды оставаться сухим при физических нагрузках любой интенсивности. Кроме того, изделие отлично удерживает тепло вашего тела. Однослойное волокно, диаметр которого – 16 микрон, является очень мягким, не колется, отлично тянется (не стесняет движений), при этом характеризуется высокой степенью огнеупорности. Зимой штаны могут быть рекомендованы в качестве нижнего белья, в теплое время года – как основной слой одежды. Особенности модели, которые делают ее весьма комфортной – двухслойная вязка (кулирная и махровая), очень тонкие и плоские швы.
Особенности:
мужское термобельё 
мягкая, не колющаяся шерсть ";3150,00;2048,00;6;6;Штаны;http://avantmarket.com/wa-data/public/shop/products/58/20/2058/images/7029/7029.750x0.jpg
Rex6262XXL;"Штаны мужские Rex, зеленый XXL";http://avantmarket.com/shtany-muzhskie-rex-zelenyy-xxl;"Мужские длинные термоштаны из шерсти Merino wool 240g Heavy - однослойный толстый материал, который обеспечивает быстрое испарение пота и идеальную сухость Вашей кожи во время занятий спортом.";"Описание штанов Lasting Rex:
Данная модель – оптимальное приобретение для зимних видов спорта, трекинга. Мужские штаны Lasting Rex выполнены из шерсти мериноса, которая обеспечивает циркуляцию воздуха и очень быстрое отведение пота, что позволяет предмету одежды оставаться сухим при физических нагрузках любой интенсивности. Кроме того, изделие отлично удерживает тепло вашего тела. Однослойное волокно, диаметр которого – 16 микрон, является очень мягким, не колется, отлично тянется (не стесняет движений), при этом характеризуется высокой степенью огнеупорности. Зимой штаны могут быть рекомендованы в качестве нижнего белья, в теплое время года – как основной слой одежды. Особенности модели, которые делают ее весьма комфортной – двухслойная вязка (кулирная и махровая), очень тонкие и плоские швы.
Особенности:
мужское термобельё 
мягкая, не колющаяся шерсть ";3150,00;2048,00;6;6;Штаны;http://avantmarket.com/wa-data/public/shop/products/55/20/2055/images/7032/7032.750x0.jpg
Rex6262XL;"Штаны мужские Rex, зеленый XL";http://avantmarket.com/shtany-muzhskie-rex-zelenyy-xl;"Мужские длинные термоштаны из шерсти Merino wool 240g Heavy - однослойный толстый материал, который обеспечивает быстрое испарение пота и идеальную сухость Вашей кожи во время занятий спортом.";"Описание штанов Lasting Rex:
Данная модель – оптимальное приобретение для зимних видов спорта, трекинга. Мужские штаны Lasting Rex выполнены из шерсти мериноса, которая обеспечивает циркуляцию воздуха и очень быстрое отведение пота, что позволяет предмету одежды оставаться сухим при физических нагрузках любой интенсивности. Кроме того, изделие отлично удерживает тепло вашего тела. Однослойное волокно, диаметр которого – 16 микрон, является очень мягким, не колется, отлично тянется (не стесняет движений), при этом характеризуется высокой степенью огнеупорности. Зимой штаны могут быть рекомендованы в качестве нижнего белья, в теплое время года – как основной слой одежды. Особенности модели, которые делают ее весьма комфортной – двухслойная вязка (кулирная и махровая), очень тонкие и плоские швы.
Особенности:
мужское термобельё 
мягкая, не колющаяся шерсть ";3150,00;2048,00;6;6;Штаны;http://avantmarket.com/wa-data/public/shop/products/56/20/2056/images/7031/7031.750x0.jpg
Rex9090L;"Штаны мужские REX, черный L";http://avantmarket.com/shtany-muzhskie-rex-chernyy-l;"Мужские длинные термоштаны из шерсти Merino wool 240g Heavy - однослойный толстый материал, который обеспечивает быстрое испарение пота и идеальную сухость Вашей кожи во время занятий спортом.";"Описание штанов Lasting Rex:
Данная модель – оптимальное приобретение для зимних видов спорта, трекинга. Мужские штаны Lasting Rex выполнены из шерсти мериноса, которая обеспечивает циркуляцию воздуха и очень быстрое отведение пота, что позволяет предмету одежды оставаться сухим при физических нагрузках любой интенсивности. Кроме того, изделие отлично удерживает тепло вашего тела. Однослойное волокно, диаметр которого – 16 микрон, является очень мягким, не колется, отлично тянется (не стесняет движений), при этом характеризуется высокой степенью огнеупорности. Зимой штаны могут быть рекомендованы в качестве нижнего белья, в теплое время года – как основной слой одежды. Особенности модели, которые делают ее весьма комфортной – двухслойная вязка (кулирная и махровая), очень тонкие и плоские швы.
Особенности:
мужское термобельё 
мягкая, не колющаяся шерсть ";3150,00;2048,00;11;11;Штаны;http://avantmarket.com/wa-data/public/shop/products/53/20/2053/images/7027/7027.750x0.jpg
Rex9090M;"Штаны мужские REX, черный M";http://avantmarket.com/shtany-muzhskie-rex-chernyy-m;"Мужские длинные термоштаны из шерсти Merino wool 240g Heavy - однослойный толстый материал, который обеспечивает быстрое испарение пота и идеальную сухость Вашей кожи во время занятий спортом.";"Описание штанов Lasting Rex:
Данная модель – оптимальное приобретение для зимних видов спорта, трекинга. Мужские штаны Lasting Rex выполнены из шерсти мериноса, которая обеспечивает циркуляцию воздуха и очень быстрое отведение пота, что позволяет предмету одежды оставаться сухим при физических нагрузках любой интенсивности. Кроме того, изделие отлично удерживает тепло вашего тела. Однослойное волокно, диаметр которого – 16 микрон, является очень мягким, не колется, отлично тянется (не стесняет движений), при этом характеризуется высокой степенью огнеупорности. Зимой штаны могут быть рекомендованы в качестве нижнего белья, в теплое время года – как основной слой одежды. Особенности модели, которые делают ее весьма комфортной – двухслойная вязка (кулирная и махровая), очень тонкие и плоские швы.
Особенности:
мужское термобельё 
мягкая, не колющаяся шерсть ";3150,00;2048,00;1;1;Штаны;http://avantmarket.com/wa-data/public/shop/products/54/20/2054/images/7028/7028.750x0.jpg
Rex9090XXL;"Штаны мужские REX, черный XXL";http://avantmarket.com/shtany-muzhskie-rex-chernyy-xxl;"Мужские длинные термоштаны из шерсти Merino wool 240g Heavy - однослойный толстый материал, который обеспечивает быстрое испарение пота и идеальную сухость Вашей кожи во время занятий спортом.";"Описание штанов Lasting Rex:
Данная модель – оптимальное приобретение для зимних видов спорта, трекинга. Мужские штаны Lasting Rex выполнены из шерсти мериноса, которая обеспечивает циркуляцию воздуха и очень быстрое отведение пота, что позволяет предмету одежды оставаться сухим при физических нагрузках любой интенсивности. Кроме того, изделие отлично удерживает тепло вашего тела. Однослойное волокно, диаметр которого – 16 микрон, является очень мягким, не колется, отлично тянется (не стесняет движений), при этом характеризуется высокой степенью огнеупорности. Зимой штаны могут быть рекомендованы в качестве нижнего белья, в теплое время года – как основной слой одежды. Особенности модели, которые делают ее весьма комфортной – двухслойная вязка (кулирная и махровая), очень тонкие и плоские швы.
Особенности:
мужское термобельё 
мягкая, не колющаяся шерсть ";3150,00;2048,00;1;1;Штаны;http://avantmarket.com/wa-data/public/shop/products/51/20/2051/images/7025/7025.750x0.jpg
Rex9090XL;"Штаны мужские REX, черный XL";http://avantmarket.com/shtany-muzhskie-rex-chernyy-xl;"Мужские длинные термоштаны из шерсти Merino wool 240g Heavy - однослойный толстый материал, который обеспечивает быстрое испарение пота и идеальную сухость Вашей кожи во время занятий спортом.";"Описание штанов Lasting Rex:
Данная модель – оптимальное приобретение для зимних видов спорта, трекинга. Мужские штаны Lasting Rex выполнены из шерсти мериноса, которая обеспечивает циркуляцию воздуха и очень быстрое отведение пота, что позволяет предмету одежды оставаться сухим при физических нагрузках любой интенсивности. Кроме того, изделие отлично удерживает тепло вашего тела. Однослойное волокно, диаметр которого – 16 микрон, является очень мягким, не колется, отлично тянется (не стесняет движений), при этом характеризуется высокой степенью огнеупорности. Зимой штаны могут быть рекомендованы в качестве нижнего белья, в теплое время года – как основной слой одежды. Особенности модели, которые делают ее весьма комфортной – двухслойная вязка (кулирная и махровая), очень тонкие и плоские швы.
Особенности:
мужское термобельё 
мягкая, не колющаяся шерсть ";3150,00;2048,00;6;6;Штаны;http://avantmarket.com/wa-data/public/shop/products/52/20/2052/images/7026/7026.750x0.jpg
Atok9090L;"Штаны мужские Atok, черный L";http://avantmarket.com/shtany-muzhskie-atok-chernyy-l;"Мужские длинные термоштаны из шерсти Merino wool 160g Light - тонкий однослойный материал, который обеспечивает быстрое испарение пота и идеальную сухость Вашей кожи во время занятий спортом или другой подвижной деятельности. Рекомендовано для использования как летом в качестве единственного слоя одежды, так и в переходной период – как нижние белье. ";"Описание штанов Lasting Atok:
Замечательное приобретение для тех, кто занимается трекингом, велоспортом или зимними  видами спорта – мужские штаны Lasting Atok (из однослойного волокна толщиной 16 микрон). Эта модель термобелья может использоваться в теплое время года как основной слой одежды, а зимой станет нижним бельем. Тонкий и эластичный трикотаж плотно прилегает к телу, но не сковывает движения. Благодаря использованию шерсти мериноса, ткань отлично отводит пот (то есть сухость кожи обеспечена) и гарантирует оптимальную циркуляцию воздуха. Характеризуется высокой степенью огнеупорности. То, что ткань не колется и не вызывает раздражения, а также очень тонкие швы и использование двухслойной вязки (кулирной и махровой) – факторы, которые являются дополнительными преимуществами.
Особенности:
Мужское термобельё 
Тонкий плоский шов 
Мягкая, не колющаяся шерсть 
Тяжело воспламеняемый 
Рекомендуется покупать в комбинации с термофутболкой Atar";2250,00;1463,00;11;11;Штаны;http://avantmarket.com/wa-data/public/shop/products/37/20/2037/images/7011/7011.750x0.jpg
Atok9090M;"Штаны мужские Atok, черный M";http://avantmarket.com/shtany-muzhskie-atok-chernyy-m;"Мужские длинные термоштаны из шерсти Merino wool 160g Light - тонкий однослойный материал, который обеспечивает быстрое испарение пота и идеальную сухость Вашей кожи во время занятий спортом или другой подвижной деятельности. Рекомендовано для использования как летом в качестве единственного слоя одежды, так и в переходной период – как нижние белье. ";"Описание штанов Lasting Atok:
Замечательное приобретение для тех, кто занимается трекингом, велоспортом или зимними  видами спорта – мужские штаны Lasting Atok (из однослойного волокна толщиной 16 микрон). Эта модель термобелья может использоваться в теплое время года как основной слой одежды, а зимой станет нижним бельем. Тонкий и эластичный трикотаж плотно прилегает к телу, но не сковывает движения. Благодаря использованию шерсти мериноса, ткань отлично отводит пот (то есть сухость кожи обеспечена) и гарантирует оптимальную циркуляцию воздуха. Характеризуется высокой степенью огнеупорности. То, что ткань не колется и не вызывает раздражения, а также очень тонкие швы и использование двухслойной вязки (кулирной и махровой) – факторы, которые являются дополнительными преимуществами.
Особенности:
Мужское термобельё 
Тонкий плоский шов 
Мягкая, не колющаяся шерсть 
Тяжело воспламеняемый 
Рекомендуется покупать в комбинации с термофутболкой Atar";2250,00;1463,00;11;11;Штаны;http://avantmarket.com/wa-data/public/shop/products/38/20/2038/images/7012/7012.750x0.jpg
Atok9090XXL;"Штаны мужские Atok, черный XXL";http://avantmarket.com/shtany-muzhskie-atok-chernyy-xxl;"Мужские длинные термоштаны из шерсти Merino wool 160g Light - тонкий однослойный материал, который обеспечивает быстрое испарение пота и идеальную сухость Вашей кожи во время занятий спортом или другой подвижной деятельности. Рекомендовано для использования как летом в качестве единственного слоя одежды, так и в переходной период – как нижние белье. ";"Описание штанов Lasting Atok:
Замечательное приобретение для тех, кто занимается трекингом, велоспортом или зимними  видами спорта – мужские штаны Lasting Atok (из однослойного волокна толщиной 16 микрон). Эта модель термобелья может использоваться в теплое время года как основной слой одежды, а зимой станет нижним бельем. Тонкий и эластичный трикотаж плотно прилегает к телу, но не сковывает движения. Благодаря использованию шерсти мериноса, ткань отлично отводит пот (то есть сухость кожи обеспечена) и гарантирует оптимальную циркуляцию воздуха. Характеризуется высокой степенью огнеупорности. То, что ткань не колется и не вызывает раздражения, а также очень тонкие швы и использование двухслойной вязки (кулирной и махровой) – факторы, которые являются дополнительными преимуществами.
Особенности:
Мужское термобельё 
Тонкий плоский шов 
Мягкая, не колющаяся шерсть 
Тяжело воспламеняемый 
Рекомендуется покупать в комбинации с термофутболкой Atar";0,00;1463,00;11;11;Штаны;http://avantmarket.com/wa-data/public/shop/products/35/20/2035/images/7009/7009.750x0.jpg
Atok9090XL;"Штаны мужские Atok, черный XL";http://avantmarket.com/shtany-muzhskie-atok-chernyy-xl;"Мужские длинные термоштаны из шерсти Merino wool 160g Light - тонкий однослойный материал, который обеспечивает быстрое испарение пота и идеальную сухость Вашей кожи во время занятий спортом или другой подвижной деятельности. Рекомендовано для использования как летом в качестве единственного слоя одежды, так и в переходной период – как нижние белье. ";"Описание штанов Lasting Atok:
Замечательное приобретение для тех, кто занимается трекингом, велоспортом или зимними  видами спорта – мужские штаны Lasting Atok (из однослойного волокна толщиной 16 микрон). Эта модель термобелья может использоваться в теплое время года как основной слой одежды, а зимой станет нижним бельем. Тонкий и эластичный трикотаж плотно прилегает к телу, но не сковывает движения. Благодаря использованию шерсти мериноса, ткань отлично отводит пот (то есть сухость кожи обеспечена) и гарантирует оптимальную циркуляцию воздуха. Характеризуется высокой степенью огнеупорности. То, что ткань не колется и не вызывает раздражения, а также очень тонкие швы и использование двухслойной вязки (кулирной и махровой) – факторы, которые являются дополнительными преимуществами.
Особенности:
Мужское термобельё 
Тонкий плоский шов 
Мягкая, не колющаяся шерсть 
Тяжело воспламеняемый 
Рекомендуется покупать в комбинации с термофутболкой Atar";2250,00;1463,00;11;11;Штаны;http://avantmarket.com/wa-data/public/shop/products/36/20/2036/images/7010/7010.750x0.jpg
Atok6262L;"Штаны мужские Atok, зеленый L";http://avantmarket.com/shtany-muzhskie-atok-zelenyy-l;"Мужские длинные термоштаны из шерсти Merino wool 160g Light - тонкий однослойный материал, который обеспечивает быстрое испарение пота и идеальную сухость Вашей кожи во время занятий спортом или другой подвижной деятельности. Рекомендовано для использования как летом в качестве единственного слоя одежды, так и в переходной период – как нижние белье. ";"Описание штанов Lasting Atok:
Замечательное приобретение для тех, кто занимается трекингом, велоспортом или зимними  видами спорта – мужские штаны Lasting Atok (из однослойного волокна толщиной 16 микрон). Эта модель термобелья может использоваться в теплое время года как основной слой одежды, а зимой станет нижним бельем. Тонкий и эластичный трикотаж плотно прилегает к телу, но не сковывает движения. Благодаря использованию шерсти мериноса, ткань отлично отводит пот (то есть сухость кожи обеспечена) и гарантирует оптимальную циркуляцию воздуха. Характеризуется высокой степенью огнеупорности. То, что ткань не колется и не вызывает раздражения, а также очень тонкие швы и использование двухслойной вязки (кулирной и махровой) – факторы, которые являются дополнительными преимуществами.
Особенности:
Мужское термобельё 
Тонкий плоский шов 
Мягкая, не колющаяся шерсть 
Тяжело воспламеняемый 
Рекомендуется покупать в комбинации с термофутболкой Atar";2250,00;1463,00;11;11;Штаны;http://avantmarket.com/wa-data/public/shop/products/33/20/2033/images/7006/7006.750x0.jpg
Atok6262M;"Штаны мужские Atok, зеленый M";http://avantmarket.com/shtany-muzhskie-atok-zelenyy-m;"Мужские длинные термоштаны из шерсти Merino wool 160g Light - тонкий однослойный материал, который обеспечивает быстрое испарение пота и идеальную сухость Вашей кожи во время занятий спортом или другой подвижной деятельности. Рекомендовано для использования как летом в качестве единственного слоя одежды, так и в переходной период – как нижние белье. ";"Описание штанов Lasting Atok:
Замечательное приобретение для тех, кто занимается трекингом, велоспортом или зимними  видами спорта – мужские штаны Lasting Atok (из однослойного волокна толщиной 16 микрон). Эта модель термобелья может использоваться в теплое время года как основной слой одежды, а зимой станет нижним бельем. Тонкий и эластичный трикотаж плотно прилегает к телу, но не сковывает движения. Благодаря использованию шерсти мериноса, ткань отлично отводит пот (то есть сухость кожи обеспечена) и гарантирует оптимальную циркуляцию воздуха. Характеризуется высокой степенью огнеупорности. То, что ткань не колется и не вызывает раздражения, а также очень тонкие швы и использование двухслойной вязки (кулирной и махровой) – факторы, которые являются дополнительными преимуществами.
Особенности:
Мужское термобельё 
Тонкий плоский шов 
Мягкая, не колющаяся шерсть 
Тяжело воспламеняемый 
Рекомендуется покупать в комбинации с термофутболкой Atar";2250,00;1463,00;11;11;Штаны;http://avantmarket.com/wa-data/public/shop/products/34/20/2034/images/7005/7005.750x0.jpg
Atok6262XXL;"Штаны мужские Atok, зеленый XXL";http://avantmarket.com/shtany-muzhskie-atok-zelenyy-xxl;"Мужские длинные термоштаны из шерсти Merino wool 160g Light - тонкий однослойный материал, который обеспечивает быстрое испарение пота и идеальную сухость Вашей кожи во время занятий спортом или другой подвижной деятельности. Рекомендовано для использования как летом в качестве единственного слоя одежды, так и в переходной период – как нижние белье. ";"Описание штанов Lasting Atok:
Замечательное приобретение для тех, кто занимается трекингом, велоспортом или зимними  видами спорта – мужские штаны Lasting Atok (из однослойного волокна толщиной 16 микрон). Эта модель термобелья может использоваться в теплое время года как основной слой одежды, а зимой станет нижним бельем. Тонкий и эластичный трикотаж плотно прилегает к телу, но не сковывает движения. Благодаря использованию шерсти мериноса, ткань отлично отводит пот (то есть сухость кожи обеспечена) и гарантирует оптимальную циркуляцию воздуха. Характеризуется высокой степенью огнеупорности. То, что ткань не колется и не вызывает раздражения, а также очень тонкие швы и использование двухслойной вязки (кулирной и махровой) – факторы, которые являются дополнительными преимуществами.
Особенности:
Мужское термобельё 
Тонкий плоский шов 
Мягкая, не колющаяся шерсть 
Тяжело воспламеняемый 
Рекомендуется покупать в комбинации с термофутболкой Atar";2250,00;1463,00;1;1;Штаны;http://avantmarket.com/wa-data/public/shop/products/31/20/2031/images/7008/7008.750x0.jpg
Atok6262XL;"Штаны мужские Atok, зеленый XL";http://avantmarket.com/shtany-muzhskie-atok-zelenyy-xl;"Мужские длинные термоштаны из шерсти Merino wool 160g Light - тонкий однослойный материал, который обеспечивает быстрое испарение пота и идеальную сухость Вашей кожи во время занятий спортом или другой подвижной деятельности. Рекомендовано для использования как летом в качестве единственного слоя одежды, так и в переходной период – как нижние белье. ";"Описание штанов Lasting Atok:
Замечательное приобретение для тех, кто занимается трекингом, велоспортом или зимними  видами спорта – мужские штаны Lasting Atok (из однослойного волокна толщиной 16 микрон). Эта модель термобелья может использоваться в теплое время года как основной слой одежды, а зимой станет нижним бельем. Тонкий и эластичный трикотаж плотно прилегает к телу, но не сковывает движения. Благодаря использованию шерсти мериноса, ткань отлично отводит пот (то есть сухость кожи обеспечена) и гарантирует оптимальную циркуляцию воздуха. Характеризуется высокой степенью огнеупорности. То, что ткань не колется и не вызывает раздражения, а также очень тонкие швы и использование двухслойной вязки (кулирной и махровой) – факторы, которые являются дополнительными преимуществами.
Особенности:
Мужское термобельё 
Тонкий плоский шов 
Мягкая, не колющаяся шерсть 
Тяжело воспламеняемый 
Рекомендуется покупать в комбинации с термофутболкой Atar";2250,00;1463,00;11;11;Штаны;http://avantmarket.com/wa-data/public/shop/products/32/20/2032/images/7007/7007.750x0.jpg
JWP620XL;"Штаны мужские JWP, зеленый XL";http://avantmarket.com/shtany-muzhskie-jwp-zelenyy-xl;"Штаны JWP 620 состоят из материала Climasens.
Состав даного материала: 70% полипропилен, 30% Merino wool.Модель рекомендовано использовать в зимнее время года для занятий трекингом, горными лыжами, рыбалкой.";"Мужские длинные термоштаны из материала Climasens 150g - комбинации шерсти Merino wool і полипропилена, которая обеспечивает быстрое испарение пота и идеальную сухость Вашей кожи во время занятий спортом или другой подвижной деятельности, а также держит тепло. Рекомендовано для использования зимой. 
 Применение:  треккинг, горные лыжи, охота, рыбалка 
 Особенности: 
Мужское термобельё 
Тонкий плоский шов 
Рекомендуется покупать в комбинации с термоштанами MWU 
Материал: Climasens 150g - 70% полипропилен, 30% Merino wool 
 Материалы и технологии: 
 Climasens (150 g)  - 70% полипропилен, 30% merino wool. 
Функциональный термобельё ребристой структуры, внутренняя сторона которого это комбинация merino wool и полипропилена. Полипропилен обеспечивает вывод влаги с поверхности вашего тела через верхние слои ткани белья. Merino wool улучшает термоизоляционный свойства, а именно согревает в холодную погоду и охлаждает в тёплую. Climasens на 50% легче хлопка. 
 Merino wool  - высококачественная тонкая пряжа из шерсти австралийских овец-мериносов гарантирует отличные тепловые характеристики, сухую кожу и контроль над влагой. Кроме того, эта пряжа быстро впитывает влагу и не раздражает кожу. Особенности:
Тонкий плоский шов";1795,00;1167,00;11;11;Штаны;http://avantmarket.com/wa-data/public/shop/products/21/20/2021/images/6995/6995.750x0.jpg
JWP620XXL;"Штаны мужские JWP, зеленый XXL";http://avantmarket.com/shtany-muzhskie-jwp-zelenyy-xxl;"Штаны JWP 620 состоят из материала Climasens.
Состав даного материала: 70% полипропилен, 30% Merino wool.Модель рекомендовано использовать в зимнее время года для занятий трекингом, горными лыжами, рыбалкой.";"Особенности:
Тонкий плоский шов";1795,00;1167,00;6;6;Штаны;http://avantmarket.com/wa-data/public/shop/products/22/20/2022/images/6996/6996.750x0.jpg
JWP620M;"Штаны мужские JWP, зеленый M";http://avantmarket.com/shtany-muzhskie-jwp-zelenyy-m;"Штаны JWP 620 состоят из материала Climasens.
Состав даного материала: 70% полипропилен, 30% Merino wool.Модель рекомендовано использовать в зимнее время года для занятий трекингом, горными лыжами, рыбалкой.";"Мужские длинные термоштаны из материала Climasens 150g - комбинации шерсти Merino wool і полипропилена, которая обеспечивает быстрое испарение пота и идеальную сухость Вашей кожи во время занятий спортом или другой подвижной деятельности, а также держит тепло. Рекомендовано для использования зимой. 
 Применение:  треккинг, горные лыжи, охота, рыбалка 
 Особенности: 
Мужское термобельё 
Тонкий плоский шов 
Рекомендуется покупать в комбинации с термоштанами MWU 
Материал: Climasens 150g - 70% полипропилен, 30% Merino wool 
 Материалы и технологии: 
 Climasens (150 g)  - 70% полипропилен, 30% merino wool. 
Функциональный термобельё ребристой структуры, внутренняя сторона которого это комбинация merino wool и полипропилена. Полипропилен обеспечивает вывод влаги с поверхности вашего тела через верхние слои ткани белья. Merino wool улучшает термоизоляционный свойства, а именно согревает в холодную погоду и охлаждает в тёплую. Climasens на 50% легче хлопка. 
 Merino wool  - высококачественная тонкая пряжа из шерсти австралийских овец-мериносов гарантирует отличные тепловые характеристики, сухую кожу и контроль над влагой. Кроме того, эта пряжа быстро впитывает влагу и не раздражает кожу. Особенности:
Тонкий плоский шов";1795,00;1167,00;11;11;Штаны;http://avantmarket.com/wa-data/public/shop/products/19/20/2019/images/6993/6993.750x0.jpg
JWP620L;"Штаны мужские JWP, зеленый L";http://avantmarket.com/shtany-muzhskie-jwp-zelenyy-l;"Штаны JWP 620 состоят из материала Climasens.
Состав даного материала: 70% полипропилен, 30% Merino wool.Модель рекомендовано использовать в зимнее время года для занятий трекингом, горными лыжами, рыбалкой.";"Мужские длинные термоштаны из материала Climasens 150g - комбинации шерсти Merino wool і полипропилена, которая обеспечивает быстрое испарение пота и идеальную сухость Вашей кожи во время занятий спортом или другой подвижной деятельности, а также держит тепло. Рекомендовано для использования зимой. 
 Применение:  треккинг, горные лыжи, охота, рыбалка 
 Особенности: 
Мужское термобельё 
Тонкий плоский шов 
Рекомендуется покупать в комбинации с термоштанами MWU 
Материал: Climasens 150g - 70% полипропилен, 30% Merino wool 
 Материалы и технологии: 
 Climasens (150 g)  - 70% полипропилен, 30% merino wool. 
Функциональный термобельё ребристой структуры, внутренняя сторона которого это комбинация merino wool и полипропилена. Полипропилен обеспечивает вывод влаги с поверхности вашего тела через верхние слои ткани белья. Merino wool улучшает термоизоляционный свойства, а именно согревает в холодную погоду и охлаждает в тёплую. Climasens на 50% легче хлопка. 
 Merino wool  - высококачественная тонкая пряжа из шерсти австралийских овец-мериносов гарантирует отличные тепловые характеристики, сухую кожу и контроль над влагой. Кроме того, эта пряжа быстро впитывает влагу и не раздражает кожу. Особенности:
Тонкий плоский шов";1795,00;1167,00;11;11;Штаны;http://avantmarket.com/wa-data/public/shop/products/20/20/2020/images/6994/6994.750x0.jpg
